projectname,language,totalcommits,sloc,time,hour,filechangecount,duration,contributors,ageyear,contributor,total_file_num,fileabslog,filepro,fileprolog,commitlog,sloclog,durationlog,contrilog,dynamicstatic,strongweak
androidannotations-androidannotations,Java,2701,36504,-1,-0.000277778,2,168059517,59,5.403148052,59,879,0.301029996,0.002275313,-2.642958852,3.431524584,4.562340456,0.732646868,1.770852012,static,strong
angular-angular.js,JS,8462,231582,1981583,550.4397222,2,231161123,441,7.431877668,441,1106,0.301029996,0.001808318,-2.742725195,3.927473021,5.3647048,0.871098552,2.644438589,dynamic,weak
ansible-ansible,Python,29763,335327,437563,121.5452778,1,162853318,399,5.235767683,399,1712,0,0.000584112,-3.233503872,4.473676704,5.525468524,0.718980368,2.600972896,dynamic,strong
antirez-disque,C,603,40209,2631687.5,731.0243056,1,63748431,54,2.049525174,54,129,0,0.007751938,-2.110589709,2.780317312,4.604323272,0.311653257,1.73239376,static,weak
antirez-redis,C,6160,89234,2263476,628.7433333,1,256224455,223,8.237668949,223,231,0,0.004329004,-2.363612013,3.789580712,4.950530361,0.915804335,2.348304863,static,weak
apenwarr-sshuttle,Python,415,4186,-1,-0.000277778,1,221116184,31,7.108930813,31,25,0,0.04,-1.397940009,2.618048097,3.621799224,0.851804288,1.491361694,dynamic,strong
apex-apex,Go,682,6288,265278,73.68833333,1,43329929,80,1.393066133,80,59,0,0.016949153,-1.770852,2.833784375,3.798512533,0.143971734,1.903089987,static,strong
App-vNext-Polly,C#,578,28781,320999,89.16638889,1,126170396,28,4.056404192,28,170,0,0.005882353,-2.230448917,2.761927838,4.459105879,0.608141223,1.447158031,static,strong
arduino-Arduino,C,6517,98825,3011689,836.5802778,1,209148564,210,6.724169367,210,67,0,0.014925373,-1.826074807,3.814047721,4.994866823,0.827638644,2.322219295,static,weak
aria2-aria2,C++,5125,92689,285552.5,79.32013889,2,203048292,45,6.528044367,45,608,0.301029996,0.003289474,-2.482873542,3.70969387,4.967028197,0.814783097,1.653212514,static,weak
arut-nginx-rtmp-module,C,950,21838,-1,-0.000277778,1,162195742,10,5.214626479,10,34,0,0.029411765,-1.531478913,2.977723605,4.339212862,0.717223206,1,static,weak
asciimoo-wuzz,Go,185,2337,143511,39.86416667,1,8087880,19,0.260027006,19,12,0,0.083333333,-1.079181248,2.267171728,3.368658712,-0.584981545,1.278753601,static,strong
aspnet-EntityFramework,C#,3910,343821,2427094.5,674.1929167,7,103460879,85,3.326288548,85,2214,0.84509804,0.003161698,-2.500079615,3.592176757,5.536332399,0.521959921,1.929418926,static,strong
aspnet-Mvc,C#,3383,196674,1390303.5,386.1954167,3,107078760,111,3.442604167,111,1953,0.477121255,0.001536098,-2.813581076,3.529301998,5.293746951,0.53688709,2.045322979,static,strong
aspnetboilerplate-aspnetboilerplate,C#,3173,50265,15444,4.29,1,117040492,68,3.7628759,68,1397,0,0.00071582,-3.145196172,3.501470072,4.701265687,0.575519895,1.832508913,static,strong
astaxie-beego,Go,2802,34360,801164,222.5455556,1,163416472,204,5.2538732,204,5030,0,0.000198807,-3.701568328,3.447468131,4.536053155,0.720479587,2.309630167,static,strong
atlassian-localstack,Python,122,3485,152113,42.25361111,2,16459917,14,0.529189718,14,32,0.301029996,0.0625,-1.204119983,2.086359831,3.542202782,-0.276388603,1.146128036,dynamic,strong
attic-labs-noms,Go,3509,371624,7751817,2153.2825,2,60596111,32,1.948177437,32,1726,0.301029996,0.001158749,-2.936010628,3.545183368,5.570103754,0.289628509,1.505149978,static,strong
AutoMapper-AutoMapper,C#,2280,42648,247565.5,68.76819444,3,228429722,86,7.344062564,86,608,0.477121255,0.004934211,-2.306782283,3.357934847,4.62989867,0.865936368,1.934498451,static,strong
AvaloniaUI-Avalonia,C#,3897,82275,1222791,339.6641667,1,107624799,42,3.460159433,42,1153,0,0.000867303,-3.061829151,3.590730406,4.915267891,0.53909611,1.62324929,static,strong
b4winckler-macvim,C,7375,289843,-1,-0.000277778,1,218748109,32,7.032796714,32,121,0,0.008264463,-2.08278536,3.867762025,5.462162816,0.847128064,1.505149978,static,weak
babel-babel,JS,7911,48537,388961,108.0447222,2,81987697,346,2.635921328,346,2587,0.301029996,0.000773096,-3.111766574,3.898231385,4.68607293,0.420932444,2.539076099,dynamic,weak
balderdashy-sails,JS,6606,22786,2333207,648.1130556,2,161799225,211,5.201878376,211,213,0.301029996,0.009389671,-2.027349624,3.819938569,4.357668093,0.716160194,2.324282455,dynamic,weak
bang590-JSPatch,C,390,6391,4447678,1235.466111,1,61377758,39,1.973307549,39,60,0,0.016666667,-1.778151242,2.591064607,3.805568818,0.295194777,1.591064607,static,weak
barryvdh-laravel-debugbar,PHP,675,2852,-1,-0.000277778,1,115522386,56,3.71406848,56,50,0,0.02,-1.698970004,2.829303773,3.455149521,0.569849907,1.748188027,dynamic,weak
bbatsov-rubocop,Ruby,6006,99250,613065,170.2958333,2,158896202,375,5.108545589,375,926,0.301029996,0.002159827,-2.665581034,3.778585328,4.996730515,0.708297273,2.574031268,dynamic,strong
bcit-ci-CodeIgniter,PHP,9529,35419,106491,29.58083333,1,180138360,395,5.79148534,395,280,0,0.003571429,-2.447157979,3.979047327,4.549236295,0.762789961,2.596597096,dynamic,weak
Bilibili-ijkplayer,C,2426,18626,12709232,3530.342222,1,123666476,38,3.975902649,38,90,0,0.011111111,-1.954242514,3.384890797,4.270119599,0.599435742,1.579783597,static,weak
binux-pyspider,Python,910,12784,105674,29.35388889,2,100888873,38,3.243598026,38,99,0.301029996,0.02020202,-1.694605203,2.959041392,4.106666762,0.511027027,1.579783597,dynamic,strong
bitcoin-bitcoin,C++,13713,143177,5437383.5,1510.384306,1,201127397,399,6.466287198,399,86,0,0.011627907,-1.93449845,4.137132476,5.155873258,0.81065499,2.600972896,static,weak
bjorn-tiled,C++,2956,101073,1295195,359.7763889,1,195079298,164,6.27183957,164,21,0,0.047619048,-1.322219291,3.47070443,5.004635156,0.797394941,2.214843848,static,weak
blueimp-jQuery-File-Upload,JS,1009,4975,-1,-0.000277778,1,202681468,70,6.5162509,70,17,0,0.058823529,-1.230448924,3.003891166,3.696793085,0.813997798,1.84509804,dynamic,weak
boltdb-bolt,Go,810,9062,157691.5,43.80319444,1,106335226,98,3.418699396,98,34,0,0.029411765,-1.531478913,2.908485019,3.957224058,0.533860915,1.991226076,static,strong
BradLarson-GPUImage,Obj-C,1083,29752,5207695,1446.581944,1,164752798,127,5.296836355,127,230,0,0.004347826,-2.361727845,3.034628457,4.473516165,0.724016556,2.103803721,static,weak
briannesbitt-Carbon,PHP,1136,10135,19743.5,5.484305556,2,146826220,102,4.720493184,102,123,0.301029996,0.016260163,-1.788875105,3.055378331,4.005823753,0.673987375,2.008600172,dynamic,weak
buger-goreplay,Go,875,7248,3123945.5,867.7626389,3,123993053,56,3.986402167,56,57,0.477121255,0.052631579,-1.278753601,2.942008053,3.860218185,0.60058111,1.748188027,static,strong
bumptech-glide,Java,1585,41065,173324.5,48.14569444,1,120575247,49,3.876519001,49,469,0,0.002132196,-2.671172876,3.200029267,4.613471827,0.588441917,1.69019608,static,strong
BVLC-caffe,C++,4021,41727,392255,108.9597222,1,114888012,248,3.693673225,248,188,0,0.005319149,-2.274157844,3.604334073,4.620417162,0.567458471,2.394451681,static,weak
CachetHQ-Cachet,PHP,4291,37867,74862,20.795,1,77722609,107,2.498797872,107,707,0,0.001414427,-2.849419462,3.632558515,4.5782609,0.397731127,2.029383778,dynamic,weak
cakephp-cakephp,PHP,32477,161223,-1,-0.000277778,2,220569698,374,7.091361175,374,970,0.301029996,0.002061856,-2.685741669,4.511575905,5.207426998,0.850729605,2.572871602,dynamic,weak
callemall-material-ui,JS,5442,47998,1850565,514.0458333,1,85510086,433,2.74916686,433,1450,0,0.000689655,-3.161368111,3.735758537,4.681223141,0.4392011,2.636487896,dynamic,weak
cantino-huginn,Ruby,2747,33464,956975,265.8263889,1,131003969,144,4.211804559,144,432,0,0.002314815,-2.635483712,3.438858659,4.524577852,0.62446821,2.158362492,dynamic,strong
caolan-async,JS,1565,12128,740546.5,205.7073611,2,218473110,195,7.02395544,195,174,0.301029996,0.011494253,-1.939519248,3.194514342,4.083789188,0.846581748,2.290034611,dynamic,weak
capistrano-capistrano,Ruby,1521,5708,1616669,449.0747222,1,258234356,212,8.30228768,212,101,0,0.00990099,-2.004321378,3.182129214,3.756483964,0.919197778,2.326335861,dynamic,strong
carrierwaveuploader-carrierwave,Ruby,2115,9468,15934768,4426.324444,2,273950411,294,8.807562082,294,90,0.301029996,0.022222222,-1.653212518,3.325310372,3.976258249,0.944855713,2.46834733,dynamic,strong
cayleygraph-cayley,Go,1019,43897,750046,208.3461111,2,91905019,55,2.954765271,55,195,0.301029996,0.01025641,-1.989004627,3.008174184,4.642434841,0.470522986,1.740362689,static,strong
ccgus-fmdb,Obj-C,497,4746,-1,-0.000277778,3,215442583,57,6.926523373,57,17,0.477121255,0.176470588,-0.753327667,2.696356389,3.676327734,0.840515304,1.755874856,static,weak
celery-celery,Python,10319,45641,30668251.5,8518.95875,1,253326516,417,8.144499614,417,307,0,0.003257329,-2.487138374,4.013637612,4.659355151,0.910864407,2.620136055,dynamic,strong
certbot-certbot,Python,7590,26098,704533.5,195.70375,2,78138460,255,2.512167567,255,188,0.301029996,0.010638298,-1.973127848,3.880241776,4.416607227,0.400048604,2.40654018,dynamic,strong
CEWendel-SWTableViewCell,Obj-C,317,1134,-1,-0.000277778,1,115107266,38,3.700722287,38,11,0,0.090909091,-1.041392685,2.501059262,3.054613055,0.568286496,1.579783597,static,weak
charliesome-better_errors,Ruby,440,1276,57577.5,15.99375,1,138934662,60,4.466777971,60,27,0,0.037037037,-1.431363765,2.643452676,3.105850674,0.649994366,1.77815125,dynamic,strong
chartjs-Chart.js,JS,2306,22970,1564733,434.6480556,1,130334604,207,4.190284336,207,82,0,0.012195122,-1.913813851,3.362859303,4.361160995,0.622243493,2.315970345,dynamic,weak
chocolatey-choco,C#,2340,34041,258193,71.72027778,10,73921669,55,2.376596869,55,273,1,0.036630037,-1.436162643,3.369215857,4.53200231,0.375955521,1.740362689,static,strong
chrisbanes-Android-PullToRefresh,Java,478,3583,-1,-0.000277778,1,171338404,20,5.508564943,20,36,0,0.027777778,-1.556302497,2.679427897,3.554246808,0.741038474,1.301029996,static,strong
chrisbanes-PhotoView,Java,399,1538,4146970,1151.936111,1,151356060,27,4.866128472,27,23,0,0.043478261,-1.361727835,2.600972896,3.186956335,0.687183571,1.431363764,static,strong
cloudwu-skynet,C,1470,31714,6023.5,1.673194444,1,150107358,66,4.825982446,66,82,0,0.012195122,-1.913813851,3.167317335,4.501251022,0.683585738,1.819543936,static,weak
cockroachdb-cockroach,Go,18941,316609,701175,194.7708333,2,102253273,124,3.287463767,124,978,0.301029996,0.00204499,-2.689308811,4.277402904,5.500523256,0.516860975,2.093421685,static,strong
CocoaLumberjack-CocoaLumberjack,Obj-C,1312,16533,4719694,1311.026111,1,192360081,135,6.184416184,135,111,0,0.009009009,-2.045322979,3.117933835,4.218351666,0.791298708,2.130333768,static,weak
CocoaPods-CocoaPods,Ruby,6804,22063,-1,-0.000277778,2,180618547,223,5.80692345,223,214,0.301029996,0.009345794,-2.029383796,3.832764305,4.343664565,0.763946101,2.348304863,dynamic,strong
cocos2d-cocos2d-x,C++,36226,638114,725536,201.5377778,1,203776980,367,6.551471836,367,1007,0,0.000993049,-3.003029322,4.559020383,5.804898273,0.816338878,2.564666064,static,weak
CoderMJLee-MJExtension,Obj-C,223,1676,-1,-0.000277778,3,93038760,12,2.991215278,12,26,0.477121255,0.115384615,-0.937852095,2.348304863,3.224274014,0.47584767,1.079181246,static,weak
CoderMJLee-MJRefresh,Obj-C,254,2718,50090,13.91388889,3,93037048,21,2.991160237,21,39,0.477121255,0.076923077,-1.113943352,2.404833717,3.434249452,0.475839679,1.322219295,static,weak
CodisLabs-codis,Go,1631,185472,495529,137.6469444,1,79511629,20,2.556315233,20,431,0,0.002320186,-2.634477198,3.212453961,5.268278355,0.407614408,1.301029996,static,strong
composer-composer,PHP,7364,47823,1791221.5,497.5615278,1,186376020,432,5.992027392,432,433,0,0.002309469,-2.636487863,3.86711378,4.679636817,0.77757379,2.635483747,dynamic,weak
coreos-etcd,Go,11263,352032,397424,110.3955556,2,120751359,359,3.882181038,359,1297,0.301029996,0.00154202,-2.811909993,4.051654084,5.546582143,0.589075784,2.555094449,static,strong
CRYTEK-CRYENGINE,C++,1502,1389582,-1,-0.000277778,6,29892905,23,0.961063047,23,3100,0.77815125,0.001935484,-2.713210414,3.176669933,6.14288418,-0.017248121,1.361727836,static,weak
cucumber-cucumber-ruby,Ruby,6796,17288,6442325.5,1789.534861,2,285442847,295,9.177046264,295,272,0.301029996,0.007352941,-2.133538919,3.83225337,4.237744754,0.962702921,2.469822016,dynamic,strong
curl-curl,C,21732,101538,9356327,2598.979722,1,224947658,329,7.23211349,329,401,0,0.002493766,-2.603144301,4.337099696,5.006628605,0.859265233,2.517195898,static,weak
cyfdecyf-cow,Go,1060,5795,525761,146.0447222,1,147988100,15,4.757847865,15,31,0,0.032258065,-1.491361687,3.025305865,3.76305344,0.677410551,1.176091259,static,strong
CymChad-BaseRecyclerViewAdapterHelper,Java,724,4866,-1,-0.000277778,1,33625189,22,1.081056745,22,75,0,0.013333333,-1.875061274,2.859738566,3.687172105,0.033848491,1.342422681,static,strong
daimajia-AndroidSwipeLayout,Java,174,2667,59302,16.47277778,1,84959427,16,2.731463059,16,22,0,0.045454545,-1.342422685,2.240549248,3.426023016,0.436395331,1.204119983,static,strong
deployphp-deployer,PHP,1290,5580,830192.5,230.6090278,1,120356062,109,3.869472158,109,129,0,0.007751938,-2.110589709,3.11058971,3.746634199,0.587651726,2.037426498,dynamic,weak
derekparker-delve,Go,1051,165736,1351592.5,375.4423611,3,93285317,59,2.999142136,59,436,0.477121255,0.006880734,-2.162365231,3.021602716,5.219416853,0.476997048,1.770852012,static,strong
diaspora-diaspora,Ruby,18748,74281,511131.5,141.9809722,2,209371196,335,6.731327032,335,260,0.301029996,0.007692308,-2.113943335,4.272954945,4.870877742,0.828100691,2.525044807,dynamic,strong
dingo-api,PHP,1145,6561,3851035,1069.731944,1,96679722,62,3.108272955,62,115,0,0.008695652,-2.060697849,3.058805487,3.816970038,0.49251915,1.792391689,dynamic,weak
django-django,Python,24238,213237,-1,-0.000277778,1,158317962,426,5.089955054,426,1136,0,0.000880282,-3.055378179,4.384496781,5.328862564,0.706713947,2.629409599,dynamic,strong
dmlc-mxnet,C++,5231,43141,206360,57.32222222,1,63488325,329,2.041162712,329,398,0,0.002512563,-2.59988304,3.71858472,4.634890208,0.309877626,2.517195898,static,weak
dmlc-xgboost,C++,3030,10324,34609,9.613611111,1,102191517,206,3.285478299,206,56,0,0.017857143,-1.748188024,3.481442629,4.013847996,0.516598603,2.31386722,static,weak
docker-compose,Python,3406,17240,475276,132.0211111,2,107309942,233,3.450036716,233,75,0.301029996,0.026666667,-1.574031262,3.532244644,4.236537261,0.537823717,2.367355921,dynamic,strong
doctrine-doctrine2,PHP,10552,90535,106907639.5,29696.56653,2,223309021,351,7.179430974,351,1099,0.301029996,0.001819836,-2.739967748,4.023334783,4.956816506,0.856090024,2.545307116,dynamic,weak
Dogfalo-materialize,JS,2892,14355,8160264,2266.74,2,83348662,199,2.679676633,199,59,0.301029996,0.033898305,-1.469822017,3.461198289,4.157003197,0.428082389,2.298853076,dynamic,weak
domnikl-DesignPatternsPHP,PHP,786,10584,-1,-0.000277778,1,179908529,115,5.784096226,115,202,0,0.004950495,-2.305351374,2.895422546,4.024649831,0.762235509,2.06069784,dynamic,weak
dompdf-dompdf,PHP,863,21629,6,0.001666667,3,141145964,69,4.537871785,69,84,0.477121255,0.035714286,-1.447158028,2.936010796,4.335036441,0.656852221,1.838849091,dynamic,weak
dotnet-cli,C#,5906,57174,2157266.5,599.2406944,2,50090205,166,1.610410397,166,815,0.301029996,0.002453988,-2.610127565,3.771293443,4.757198577,0.206936566,2.220108088,static,strong
dotnet-coreclr,C#,11454,5556924,729930,202.7583333,2,71243398,369,2.290489905,369,3695,0.301029996,0.000541272,-3.266584438,4.058957179,6.744834457,0.359928382,2.567026366,static,strong
dotnet-corefx,C#,20949,2373021,1525703.5,423.8065278,2,78581832,387,2.526422068,387,11104,0.301029996,0.000180115,-3.744450118,4.321163297,6.375301582,0.402505906,2.587710965,static,strong
dotnet-orleans,C#,3389,154014,95003,26.38972222,2,74899630,103,2.408038516,103,1646,0.301029996,0.001215067,-2.915399774,3.530071569,5.1875602,0.381663429,2.012837225,static,strong
dotnet-roslyn,C#,25543,1981196,1139565,316.5458333,2,72955257,214,2.345526524,214,7869,0.301029996,0.000254162,-3.594889381,4.407271903,6.296927442,0.370240348,2.330413773,static,strong
draios-sysdig,C++,3515,46019,1515101,420.8613889,1,104134483,90,3.347945055,90,73,0,0.01369863,-1.863322864,3.545925329,4.662937177,0.524778322,1.954242509,static,weak
DrKLO-Telegram,C,301,271178,-1,-0.000277778,1,111189110,12,3.574752765,12,819,0,0.001221001,-2.91328398,2.478566496,5.433254453,0.553246011,1.079181246,static,weak
drone-drone,Go,2827,187837,4139735,1149.926389,1,102139516,204,3.283806456,204,981,0,0.001019368,-2.991669004,3.451325808,5.273781143,0.516377552,2.309630167,static,strong
dzenbot-DZNEmptyDataSet,Obj-C,445,7885,52549.5,14.59708333,2,92092169,37,2.960782182,37,284,0.301029996,0.007042254,-2.152288315,2.648360011,3.896801698,0.471406459,1.568201724,static,weak
ecomfe-echarts,JS,3753,189861,499171.5,138.65875,1,128940061,37,4.145449492,37,498,0,0.002008032,-2.697229371,3.574378564,5.278435764,0.617571628,1.568201724,dynamic,weak
elastic-elasticsearch,Java,27002,644003,101484,28.19,2,228263944,407,7.338732767,407,5244,0.301029996,0.000381388,-3.418632976,4.431395933,5.80888789,0.865621074,2.609594409,static,strong
elastic-logstash,Ruby,7802,34404,580032,161.12,1,203855290,373,6.553989519,373,426,0,0.002347418,-2.62940957,3.892205946,4.536608939,0.816505743,2.571708832,dynamic,strong
electerious-Lychee,PHP,1578,3568,124664,34.62888889,1,144706624,27,4.652347737,27,25,0,0.04,-1.397940009,3.198106999,3.552424846,0.667672168,1.431363764,dynamic,weak
electron-electron,C++,13627,41982,1031222,286.4505556,2,128167944,435,4.120625772,435,484,0.301029996,0.004132231,-2.383815409,4.134400256,4.623063124,0.614963174,2.638489257,static,weak
emberjs-ember.js,JS,14276,79525,2426481,674.0225,2,187532420,390,6.02920589,390,782,0.301029996,0.002557545,-2.592176716,4.154606539,4.900503678,0.780260115,2.591064607,dynamic,weak
encode-django-rest-framework,Python,7206,20354,244085,67.80138889,2,194813164,417,6.263283308,417,1136,0.301029996,0.001760563,-2.75434843,3.857694258,4.30864977,0.796802057,2.620136055,dynamic,strong
EnterpriseQualityCoding-FizzBuzzEnterpriseEdition,Java,162,1387,-1,-0.000277778,3,140183119,31,4.50691612,31,89,0.477121255,0.033707865,-1.472268754,2.209515015,3.142076461,0.653879475,1.491361694,static,strong
erusev-parsedown,PHP,527,1268,-1,-0.000277778,1,120411395,25,3.871251125,25,5,0,0.2,-0.698970004,2.721810615,3.103119254,0.587851345,1.397940009,dynamic,weak
esp8266-Arduino,C++,2338,36735,3836682,1065.745,1,66465474,167,2.136878665,167,335,0,0.002985075,-2.525044753,3.368844507,4.565080044,0.329779863,2.222716471,static,weak
expressjs-express,JS,5365,11416,167693,46.58138889,1,247856639,205,7.968641943,205,147,0,0.006802721,-2.16731734,3.729569726,4.05751396,0.901384313,2.311753861,dynamic,weak
fabric-fabric,Python,3709,7273,1073412.5,298.1701389,1,252758736,120,8.12624537,120,78,0,0.012820513,-1.892094597,3.569256833,3.861713588,0.909889932,2.079181246,dynamic,strong
facebook-facebook-ios-sdk,Obj-C,619,35762,28591106,7941.973889,3,216481737,41,6.959932388,41,280,0.477121255,0.010714286,-1.970036765,2.791690649,4.553421799,0.842605021,1.612783857,static,weak
facebook-folly,C++,3809,95868,7109587,1974.885278,1,155315456,257,4.993423868,257,464,0,0.002155172,-2.666518064,3.580810973,4.981673667,0.698398433,2.409933123,static,weak
facebook-fresco,Java,1266,425688,3057632.5,849.3423611,1,68608916,84,2.205790766,84,682,0,0.001466276,-2.833784274,3.102433706,5.629091408,0.343564314,1.924279286,static,strong
facebook-hhvm,C++,22364,606050,-1,-0.000277778,1,231504174,318,7.442906829,318,22232,0,4.50E-05,-4.346787486,4.349549484,5.782508456,0.871742582,2.50242712,static,weak
facebook-immutable-js,JS,1308,13615,7823653,2173.236944,3,89618251,127,2.88124521,127,75,0.477121255,0.04,-1.397940009,3.116607744,4.134017646,0.459580221,2.103803721,dynamic,weak
facebook-osquery,C++,3631,43794,58046,16.12388889,1,87233547,145,2.804576485,145,326,0,0.003067485,-2.513217552,3.560026249,4.641414614,0.447867288,2.161368002,static,weak
facebook-proxygen,C++,1131,32694,-1,-0.000277778,2,81520878,64,2.620913002,64,139,0.301029996,0.014388489,-1.841984811,3.053462605,4.514468058,0.418452605,1.806179974,static,weak
facebook-react,JS,8520,116992,3432901,953.5836111,2,124487046,464,4.002284144,464,563,0.301029996,0.003552398,-2.449478383,3.930439595,5.068156165,0.602307918,2.666517981,dynamic,weak
facebook-react-native,JS,10432,111384,-1,-0.000277778,1,73072184,392,2.349285751,392,563,0,0.001776199,-2.750508379,4.018367578,5.04682281,0.370935845,2.593286067,dynamic,weak
facebook-rocksdb,C++,6068,159076,698384,193.9955556,1,139643022,265,4.48955189,265,405,0,0.002469136,-2.607454988,3.783045572,5.201604662,0.652202995,2.423245874,static,weak
facebook-stetho,Java,501,18201,431833,119.9536111,1,71933150,34,2.312665574,34,253,0,0.003952569,-2.40312054,2.699837726,4.26009525,0.364112836,1.531478917,static,strong
facebook-watchman,C++,1616,21953,19964181,5545.605833,3,139667048,68,4.490324331,68,131,0.477121255,0.022900763,-1.640150048,3.208441356,4.341493877,0.652277711,1.832508913,static,weak
facebook-xctool,Obj-C,1152,26240,4142299,1150.638611,1,127118476,72,4.086885159,72,304,0,0.003289474,-2.482873542,3.061452479,4.418963831,0.611392434,1.857332496,static,weak
facebook-zstd,C,3144,49042,1101733,306.0369444,1,71840242,44,2.309678562,44,75,0,0.013333333,-1.875061274,3.497482537,4.690568173,0.363551543,1.643452676,static,weak
facebookincubator-create-react-app,JS,858,5057,137833,38.28694444,2,25131889,266,0.807995403,266,563,0.301029996,0.003552398,-2.449478383,2.933487288,3.703892954,-0.09259111,2.424881637,dynamic,weak
facebookresearch-fastText,C++,172,1456,-1,-0.000277778,1,25222878,17,0.810920718,17,8,0,0.125,-0.903089987,2.235528447,3.163161375,-0.091021604,1.230448921,static,weak
faif-python-patterns,Python,420,2565,-1,-0.000277778,1,154882645,63,4.979508906,63,57,0,0.01754386,-1.755874847,2.62324929,3.409087369,0.697186513,1.799340549,dynamic,strong
fastlane-fastlane,Ruby,13131,68673,3316225,921.1736111,1,76359562,415,2.45497563,415,156,0,0.006410256,-2.193124626,4.118297801,4.83678602,0.390047185,2.618048097,dynamic,strong
fchollet-keras,Python,3478,26654,237941.5,66.09486111,1,66396258,431,2.134653356,431,139,0,0.007194245,-2.143014776,3.541329578,4.425762393,0.32932736,2.63447727,dynamic,strong
FFmpeg-FFmpeg,C,85585,843991,-1,-0.000277778,1,191108842,293,6.144188593,293,2356,0,0.000424448,-3.372175508,4.932397655,5.926337815,0.788464538,2.46686762,static,weak
filp-whoops,PHP,878,3369,-1,-0.000277778,1,130878093,83,4.20775762,83,51,0,0.019607843,-1.707570179,2.943494516,3.527501011,0.624050715,1.919078092,dynamic,weak
